taxonid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,category,criteria,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason,tax_sp_level
36140,Xanthocercis rabiensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Xanthocercis,NA,Maesen,1998,VU,D2,FALSE,FALSE,TRUE,World Conservation Monitoring Centre,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xanthocercis rabiensis
48154076,Ecbolium tanzaniense,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,ACANTHACEAE,Ecbolium,NA,Vollesen,2015,VU,B1ab(iii)+2ab(iii),FALSE,FALSE,TRUE,"Luke, W.R.Q., Bangirinama, F., Beentje, H.J., Darbyshire, I., Gereau, R., Kabuye, C., Kalema, J., Kelbessa, E., Kindeketa, W., Minani, V., Mwangoka, M. & Ndangalasi, H.","Maunder, M. & Hilton-Taylor, C.",99.856,15080.4,1500,500,NA,NA,NA,NA,NA,NA,Ecbolium tanzaniense
200671,Justicia telloensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,ACANTHACEAE,Justicia,NA,Hedrén,2014,EN,B2ab(iii),FALSE,TRUE,TRUE,"Cheek, M.","Onana, J.-M.",8,NA,1750,1200,NA,NA,NA,NA,NA,NA,Justicia telloensis
32141,Pleioceras orientale,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Pleioceras,NA,Vollesen,1998,VU,D2,FALSE,FALSE,TRUE,World Conservation Monitoring Centre,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pleioceras orientale
47347501,Schefflera stolzii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,Schefflera,NA,Harms,2013,VU,B1ab(iii)+2ab(iii),FALSE,FALSE,TRUE,IUCN SSC East African Plants Red List Authority,"Hilton-Taylor, C. & Scott, J.A.",99.85,12803.7,2360,1730,NA,NA,NA,NA,NA,NA,Schefflera stolzii
200703,Epistemma rupestre,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Epistemma,NA,H.Huber,2014,NT,NA,FALSE,FALSE,TRUE,"Cheek, M.","Onana, J.-M.",60,36946,1200,670,NA,NA,NA,NA,NA,NA,Epistemma rupestre
39500,Impatiens grandisepala,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GERANIALES,BALSAMINACEAE,Impatiens,NA,Grey-Wilson,2014,CR,B2ab(iii); D,FALSE,FALSE,TRUE,"Cheek, M.","Onana, J.-M.",4,NA,1150,1150,NA,NA,NA,NA,NA,NA,Impatiens grandisepala
202707,Begonia minuta,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begonia,NA,Sosef,2015,CR,B2ab(iii),FALSE,FALSE,TRUE,"Cheek, M.","Onana, J.-M.",8,NA,500,500,NA,NA,NA,NA,NA,NA,Begonia minuta
20390748,Combretum esteriense,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,COMBRETACEAE,Combretum,NA,Jongkind,2016,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv); D",FALSE,FALSE,TRUE,"Walters, G. & Stévart, T.","Hilton-Taylor, C.",28,409.198,20,0,NA,NA,NA,NA,NA,NA,Combretum esteriense
169017,Cyperus iria,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Cyperus,NA,L.,2014,LC,NA,FALSE,TRUE,FALSE,"Gupta, A.K. & Lansdown, R.V.","Lansdown, R.V. & Smith, K.",NA,NA,1400,900,NA,NA,NA,NA,NA,NA,Cyperus iria
176998,Cyperus zollingeri,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Cyperus,Roadside Flatsedge ,Steud.,2011,LC,NA,FALSE,FALSE,TRUE,"Kumar, B.","Sadasivaiah, B., Rao, M.L.V., Bhat, G.K., Dahanukar, N. & Molur, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyperus zollingeri
202742,Dichapetalum letouzeyi,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,DICHAPETALACEAE,Dichapetalum,NA,Breteler,2015,CR,D,FALSE,FALSE,TRUE,"Cheek, M. & Pearce, L.","Onana, J.-M.",4,NA,50,50,NA,NA,NA,NA,NA,NA,Dichapetalum letouzeyi
32176,Tapura neglecta,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,DICHAPETALACEAE,Tapura,NA,Halle &amp; Heine,1998,VU,D2,FALSE,FALSE,TRUE,World Conservation Monitoring Centre,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tapura neglecta
