tax_sp_level,nbe_occ_gbif,nbe_loc_gbif,list_continents_gbif
Sorghum arundinaceum,413,265,"OCEANIA, SOUTH_AMERICA, AFRICA"
Isoglossa laxiflora,19,14,AFRICA
Hypoestes triflora,193,121,AFRICA
Isoglossa masisiensis,5,3,
Eremomastax speciosa,173,104,AFRICA
Duvernoia verdickii,NA,NA,NA
Justicia laxa,184,89,AFRICA
Justicia claessensii,73,34,AFRICA
Vernonia verrucata,24,18,AFRICA
Justicia betonica,120,83,"OCEANIA, SOUTH_AMERICA, AFRICA"
Isoglossa vulcanicola,33,22,AFRICA
Adhatoda bolomboensis,74,41,AFRICA
Begonia pulcherrima,14,6,AFRICA
Justicia heterocarpa,96,69,AFRICA
Justicia ladanoides,265,147,AFRICA
Justicia insularis,235,163,AFRICA
Brillantaisia vogeliana,97,68,AFRICA
Crabbea kaessneri,13,8,AFRICA
Crossandra infundibuliformis,31,17,"OCEANIA, SOUTH_AMERICA, AFRICA, ASIA"
Crossandra massaica,15,9,AFRICA
Dicliptera capitata,44,28,AFRICA
Crossandrella dusenii,21,12,
Brillantaisia madagascariensis,61,48,AFRICA
Brachystegia laurentii,77,32,AFRICA
Bussea gossweileri,20,7,AFRICA
Cissus gossweileri,11,7,AFRICA
Cyphostemma homblei,7,4,
Cyphostemma gilletii,24,10,
Cissus pynaertii,45,20,
Cyphostemma wittei,20,14,AFRICA
Cyphostemma manikense,21,13,
Cyphostemma robynsii,2,1,
Cyphostemma sessilifolium,10,3,
Cyphostemma strigosum,2,1,
Okoubaka aubrevillei,22,8,AFRICA
Diospyros iturensis,157,72,AFRICA
Mammea africana,0,NA,NA
Lepidagathis nemorosa,10,10,AFRICA
Barleria lukafuensis,1,1,
Justicia dalaensis,12,10,AFRICA
Thomandersia hensii,351,188,AFRICA
Thomandersia laurentii,20,10,AFRICA
Thunbergia crispa,29,17,AFRICA
Oxyanthus speciosus,509,240,AFRICA
Prioria balsamifera,81,32,AFRICA
Chlorophytum cordifolium,8,2,
Diospyros chrysocarpa,24,4,
Melastomastrum autranianum,17,15,AFRICA
Millettia elskensii,11,4,AFRICA
Millettia macroura,105,42,AFRICA
Dissotis romiana,30,16,AFRICA
Millettia hylobia,24,3,AFRICA
Millettia discolor,1,1,
Millettia sapinii,17,8,AFRICA
Whitfieldia elongata,275,169,AFRICA
Millettia stipellatissima,2,1,
Dissotis elegans,2,1,
Dissotis gilgiana,39,17,
Solanum aculeatissimum,109,66,"SOUTH_AMERICA, AFRICA, NORTH_AMERICA"
Warneckea gilletii,3,1,
Greenwayodendron suaveolens,302,131,AFRICA
Commelina irumuensis,4,1,
Duosperma nudantherum,9,4,AFRICA
Dyschoriste mutica,2,2,
Prioria oxyphylla,93,36,AFRICA
Nectaropetalum lebrunii,7,2,AFRICA
Polystachya fabriana,5,2,
Cyathea mildbraedii,9,1,
Polystachya mildbraedii,43,15,AFRICA
Satyrium trinerve,74,40,AFRICA
Satyrium volkensii,19,10,AFRICA
Polystachya vulcanica,32,13,AFRICA
Impatiens burtonii,275,95,AFRICA
Impatiens bequaertii,1,NA,NA
Impatiens filicornu,53,26,AFRICA
Disa dichroa,7,3,
Pseudagrostistachys ugandensis,20,11,AFRICA
Pycnocoma thonneri,9,2,AFRICA
Microdesmis yafungana,143,16,AFRICA
Polystachya doggettii,13,4,
Chironia katangensis,30,20,AFRICA
Hypericum bequaertii,23,6,AFRICA
Allanblackia kisonghi,10,7,
Pteris auquieri,3,2,
Beirnaertia cabindensis,8,4,AFRICA
Anisocycla cymosa,14,4,AFRICA
Heisteria parvifolia,361,170,AFRICA
Impatiens mildbraedii,91,31,AFRICA
Impatiens purpureo-violacea,86,21,AFRICA
Impatiens tinctoria,65,31,AFRICA
Oeceoclades lubbersiana,8,3,
