tax_sp_level,nbe_occ_gbif,nbe_loc_gbif,list_continents_gbif
Dracaena glomerata,32,13,AFRICA
Hemionitis schimperi,NA,NA,NA
Dactyladenia campestris,62,28,AFRICA
Eragrostis tenella,NA,NA,NA
Urochloa deflexa,92,75,AFRICA
Hyparrhenia smithiana,57,35,AFRICA
Cryptotaenia africana,33,15,AFRICA
Sanicula elata,159,96,"AFRICA, ASIA, EUROPE"
Hibiscus surattensis,152,98,"AFRICA, ASIA"
Olax latifolia,218,89,AFRICA
Ocimum gratissimum,67,57,"SOUTH_AMERICA, NORTH_AMERICA, AFRICA, OCEANIA"
Clerodendrum silvanum,105,57,AFRICA
Thelypteris hispidulus,0,NA,NA
Pogostemon micangensis,2,1,AFRICA
Hibiscus vitifolius,194,130,"OCEANIA, AFRICA, NORTH_AMERICA, ASIA"
Vitex phaseolifolia,13,2,AFRICA
Globimetula oreophila,10,6,AFRICA
Chaetocarpus africanus,72,32,AFRICA
Eriocoelum petiolare,61,28,AFRICA
Bertiera batesii,120,72,AFRICA
Dichapetalum librevillense,64,29,AFRICA
Dichapetalum integripetalum,90,36,AFRICA
Dichapetalum tomentosum,143,56,AFRICA
Psychotria mannii,131,48,AFRICA
Syngonanthus schlechteri,10,5,AFRICA
Cynanchum viminale,757,610,"OCEANIA, AFRICA, ASIA"
Oxystelma bornouense,41,29,AFRICA
Ceropegia racemosa,20,16,AFRICA
Albertisia cuneata,1,1,AFRICA
Vitellariopsis cuneata,2,2,AFRICA
Chrysophyllum bangweolense,32,19,AFRICA
Argocoffeopsis fosimondi,2,1,AFRICA
Rothmannia engleriana,49,40,AFRICA
Pentas angustifolia,7,5,AFRICA
Rhoicissus revoilii,76,42,AFRICA
Landolphia kirkii,64,36,AFRICA
Vitellariopsis kirkii,5,4,AFRICA
Lablab purpureus,126,96,"OCEANIA, AFRICA, SOUTH_AMERICA, NORTH_AMERICA"
Indigofera podophylla,9,8,AFRICA
Afzelia quanzensis,104,78,AFRICA
Rhynchosia totta,45,29,AFRICA
Boophone disticha,13,8,AFRICA
Acanthospermum hispidum,361,279,"OCEANIA, SOUTH_AMERICA, NORTH_AMERICA, AFRICA"
Erythrococca integrifolia,0,NA,NA
Warburgia salutaris,2,1,AFRICA
Uapaca nitida,102,70,AFRICA
Sandersonia aurantiaca,2,1,AFRICA
Ozoroa insignis,202,115,AFRICA
Hymenodictyon epiphyticum,12,8,AFRICA
Strophanthus mirabilis,12,11,AFRICA
Thecacoris grandifolia,11,7,AFRICA
Hymenodictyon parvifolium,63,28,AFRICA
Spermacoce subvulgata,105,66,"AFRICA, OCEANIA"
Uraria picta,123,88,"AFRICA, ASIA, OCEANIA"
Aloe secundiflora,6,5,AFRICA
Indigofera hochstetteri,36,27,AFRICA
Solanum coagulans,35,25,"AFRICA, ASIA"
Acacia nilotica,19,7,
Jatropha rivae,5,5,AFRICA
Aloe elegans,10,5,AFRICA
Aloe pulcherrima,0,NA,NA
Sorghum purpureo-sericeum,23,16,AFRICA
Acacia senegal,158,110,AFRICA
Acacia polyacantha,169,108,AFRICA
Acacia etbaica,61,46,AFRICA
Aloe yavellana,2,1,AFRICA
Pterocephalus frutescens,28,12,AFRICA
Cyperus mollipes,15,12,AFRICA
Dracaena fragrans,305,109,"SOUTH_AMERICA, OCEANIA, NORTH_AMERICA, AFRICA, EUROPE"
Leucas discolor,1,1,AFRICA
Polygala petitiana,48,41,AFRICA
Polygala sphenoptera,95,70,AFRICA
Polygala capillaris,36,27,"SOUTH_AMERICA, AFRICA"
Scaphopetalum discolor,2,1,AFRICA
Barleria kacondensis,1,1,AFRICA
Pentadesma butyracea,60,41,AFRICA
Freesia laxa,48,32,"OCEANIA, NORTH_AMERICA, AFRICA, SOUTH_AMERICA, EUROPE"
Aerangis verdickii,11,9,AFRICA
Aerangis luteoalba,58,20,AFRICA
Garcinia densivenia,42,19,AFRICA
Garcinia le-testui,16,8,AFRICA
Vanilla ramosa,14,8,AFRICA
Acalypha clutioides,4,4,AFRICA
Gambeya lacourtiana,66,34,AFRICA
Pyrostria affinis,29,13,AFRICA
Blotiella crenata,27,18,AFRICA
Blotiella glabra,38,28,AFRICA
Flacourtia indica,203,140,"OCEANIA, SOUTH_AMERICA, AFRICA, ASIA"
Sterculia setigera,45,31,AFRICA
Indigofera tetrasperma,9,5,AFRICA
Lepidagathis hamiltoniana,14,10,AFRICA
Ruspolia hypocrateriformis,26,20,AFRICA
Urochloa villosa,73,57,"AFRICA, ASIA"
Ctenium newtonii,148,103,AFRICA
Sporobolus robustus,33,19,AFRICA
Heteropogon contortus,460,372,OCEANIA
Dactyloctenium aegyptium,333,223,"OCEANIA, SOUTH_AMERICA, NORTH_AMERICA"
Panicum maximum,474,295,"OCEANIA, SOUTH_AMERICA"
Schizachyrium schweinfurthii,22,18,AFRICA
Andropogon gayanus,356,233,"OCEANIA, SOUTH_AMERICA, AFRICA, ASIA"
Liparis nervosa,121,78,"SOUTH_AMERICA, NORTH_AMERICA, AFRICA"
Asplenium sandersonii,109,69,AFRICA
Hymenophyllum kuhnii,118,60,"SOUTH_AMERICA, NORTH_AMERICA"
Podocarpus latifolius,14,13,AFRICA
Isolona lebrunii,19,11,AFRICA
Ancistrorhynchus clandestinus,35,18,AFRICA
Octoknema bakossiensis,2,2,AFRICA
Eriocaulon sulanum,4,1,AFRICA
Eriocaulon petraeum,10,2,AFRICA
Pandiaka carsonii,41,27,AFRICA
Lobelia kalobaensis,6,2,AFRICA
Walafrida paniculata,4,3,AFRICA
Combretum sordidum,68,28,AFRICA
Combretum sericeum,78,51,AFRICA
Cyperus rotundus,499,359,"OCEANIA, SOUTH_AMERICA, NORTH_AMERICA"
Helixanthera mannii,68,38,AFRICA
Cleistanthus bipindensis,24,6,AFRICA
Haumania liebrechtsiana,79,39,AFRICA
Gouania scandens,0,NA,NA
Aloe citrina,3,3,AFRICA
Dissotis peregrina,9,4,AFRICA
Tapinanthus letouzeyi,3,2,AFRICA
Allanblackia gabonensis,18,8,AFRICA
Leptonychia echinocarpa,125,72,AFRICA
Carpolobia lutea,190,95,AFRICA
Achyranthes aspera,563,452,"OCEANIA, SOUTH_AMERICA, NORTH_AMERICA"
Cyathula fernando-poensis,3,2,AFRICA
Alafia barteri,163,73,AFRICA
Cyperus rheophyticus,3,2,AFRICA
Bridelia micrantha,314,175,AFRICA
Erythrococca hispida,13,7,AFRICA
Antopetitia abyssinica,46,26,AFRICA
Mussaenda tenuiflora,166,87,AFRICA
Dicranolepis vestita,17,9,AFRICA
Rinorea preussii,24,9,AFRICA
Maesa lanceolata,59,43,AFRICA
Podocarpus milanjianus,39,24,AFRICA
Asplenium gemmiferum,23,13,AFRICA
Athyrium annae,NA,NA,NA
Strychnos spinosa,232,124,AFRICA
Combretum psidioides,73,45,AFRICA
Pteleopsis anisoptera,20,13,AFRICA
Combretum apiculatum,108,63,AFRICA
Combretum albopunctatum,13,10,AFRICA
Combretum obovatum,17,14,AFRICA
Searsia natalensis,117,75,AFRICA
Satyrium coriophoroides,83,42,AFRICA
Satyrium princeae,3,3,AFRICA
Satyrium elongatum,2,2,AFRICA
Platysepalum chrysophyllum,13,5,AFRICA
Hemionitis dura,NA,NA,NA
Guaduella marantifolia,94,47,AFRICA
Glossocalyx longicuspis,93,32,AFRICA
Psychotria voorhoevei,3,1,AFRICA
Cissus populnea,86,40,AFRICA
Paropsia braunii,11,6,AFRICA
Uapaca vanhouttei,58,30,AFRICA
Erica mannii,115,50,AFRICA
Scleria gaertneri,290,126,"SOUTH_AMERICA, AFRICA, NORTH_AMERICA"
Eleocharis variegata,38,33,AFRICA
Cyperus difformis,381,310,"OCEANIA, NORTH_AMERICA"
Fimbristylis dichotoma,684,476,"OCEANIA, SOUTH_AMERICA, NORTH_AMERICA"
Eleocharis dulcis,419,282,"OCEANIA, AFRICA, ASIA"
Manostachya staelioides,59,15,AFRICA
Physotrichia muriculata,25,17,AFRICA
Eulophia bouliawongo,39,17,AFRICA
Aeollanthus subintegrus,8,5,AFRICA
Zeuxine gilgiana,7,6,AFRICA
Ituridendron bequaertii,61,26,AFRICA
Protomegabaria meiocarpa,12,5,AFRICA
Rinorea leiophylla,84,29,AFRICA
Millettia mannii,135,54,AFRICA
Napoleonaea talbotii,36,21,AFRICA
Guaduella densiflora,15,11,AFRICA
Bertiera thonneri,47,18,AFRICA
Adiantum poiretii,106,79,"SOUTH_AMERICA, AFRICA"
Justicia violaceotincta,9,4,AFRICA
Platycoryne crocea,21,17,AFRICA
Microcoelia macrorhynchia,26,13,AFRICA
Psychotria micheliae,12,6,AFRICA
Anubias gigantea,27,13,AFRICA
Psychotria ombrophila,10,7,AFRICA
Paspalum paniculatum,207,153,"OCEANIA, SOUTH_AMERICA, NORTH_AMERICA"
Peperomia vulcanica,9,5,AFRICA
Sabicea solitaria,0,NA,NA
Rinorea kamerunensis,73,38,AFRICA
Diospyros preussii,62,33,AFRICA
Brachycorythis friesii,44,22,AFRICA
Dialium hexasepalum,2,2,AFRICA
Tristachya hubbardiana,9,5,AFRICA
Psychotria moninensis,0,NA,NA
Psychotria linearisepala,40,17,AFRICA
Diodella sarmentosa,263,165,"SOUTH_AMERICA, NORTH_AMERICA, AFRICA, ASIA"
Polystachya calluniflora,11,10,AFRICA
Eurychone galeandrae,8,4,AFRICA
Cassipourea eketensis,4,4,AFRICA
Eragrostis tremula,126,81,"AFRICA, ASIA"
Scleria greigiifolia,2,2,AFRICA
Panicum pectinellum,2,2,AFRICA
Sporobolus myrianthus,8,5,AFRICA
Sorghastrum nudipes,10,7,AFRICA
Hyparrhenia pilgeriana,17,13,AFRICA
Hyparrhenia newtonii,32,28,AFRICA
Hyparrhenia rufa,394,251,"OCEANIA, AFRICA, SOUTH_AMERICA, NORTH_AMERICA"
Leersia hexandra,230,178,"SOUTH_AMERICA, OCEANIA, AFRICA"
Setaria pumila,319,252,"NORTH_AMERICA, OCEANIA, EUROPE"
Digitaria gayana,50,38,AFRICA
Zonotriche inamoena,23,18,AFRICA
Panicum pole-evansii,5,3,AFRICA
Vossia cuspidata,23,22,AFRICA
Cyperus mundtii,33,23,AFRICA
Pycnostachys coerulea,23,13,AFRICA
Panicum parvifolium,167,122,"SOUTH_AMERICA, NORTH_AMERICA, AFRICA"
Aeschynomene cristata,50,29,AFRICA
Sclerocroton oblongifolius,7,6,AFRICA
Glinus oppositifolius,503,381,"OCEANIA, AFRICA, ASIA"
Diospyros natalensis,47,32,AFRICA
Royena zombensis,14,13,AFRICA
Antherotoma debilis,23,22,"AFRICA, ASIA"
Dissotis cryptantha,5,4,AFRICA
Diospyros kirkii,40,32,AFRICA
Senna occidentalis,291,220,"OCEANIA, SOUTH_AMERICA, AFRICA, NORTH_AMERICA"
Omphalocarpum lecomteanum,50,17,AFRICA
Uvariastrum germainii,13,8,AFRICA
Uvariastrum zenkeri,49,17,AFRICA
Uvariastrum insculptum,138,54,AFRICA
Rothmannia talbotii,49,29,AFRICA
Lantana ukambensis,74,55,AFRICA
Rinorea longicuspis,347,149,AFRICA
Coptosperma graveolens,196,103,AFRICA
Humularia kapiriensis,9,5,AFRICA
Chlorophytum rubribracteatum,50,22,AFRICA
Warneckea membranifolia,62,39,AFRICA
Dactyladenia floribunda,6,3,AFRICA
Magnistipula zenkeri,27,10,AFRICA
Warneckea austro-occidentalis,2,2,AFRICA
Strophanthus mortehanii,9,6,AFRICA
Bertiera laurentii,53,19,AFRICA
Adiantum philippense,353,240,"OCEANIA, AFRICA, SOUTH_AMERICA"
Polygala myriantha,17,12,AFRICA
Gloriosa lindenii,8,5,AFRICA
Gloriosa revoilii,2,2,
Gloriosa katangensis,8,5,AFRICA
Gloriosa modesta,12,6,AFRICA
Gloriosa baudii,1,1,AFRICA
Cola heterophylla,188,76,AFRICA
Cola gabonensis,123,52,AFRICA
Asplenium unilaterale,95,69,"OCEANIA, NORTH_AMERICA, AFRICA, ASIA"
Pleiocarpa rostrata,57,31,AFRICA
Strophanthus thollonii,79,24,AFRICA
Habenaria macrandra,51,29,AFRICA
Uapaca acuminata,44,24,AFRICA
Uapaca mole,212,69,AFRICA
Uapaca lissopyrena,5,5,AFRICA
Pteleopsis tetraptera,4,1,AFRICA
Convolvulus jefferyi,2,2,AFRICA
Uvariastrum hexaloboides,6,4,AFRICA
Gladiolus erectiflorus,14,12,AFRICA
Uapaca kirkiana,68,44,AFRICA
Spermacoce hockii,49,16,AFRICA
Tectaria gemmifera,64,35,AFRICA
Leptonychia subtomentosa,4,1,AFRICA
Renealmia africana,93,33,AFRICA
Ipomoea ochracea,46,33,"OCEANIA, NORTH_AMERICA, AFRICA, SOUTH_AMERICA"
Ficus cyathistipula,87,48,"AFRICA, SOUTH_AMERICA"
Englerophytum magalismontanum,41,24,AFRICA
Schrebera alata,56,30,AFRICA
Harveya huttonii,2,1,AFRICA
Pyrostria bibracteata,12,9,AFRICA
Psychotria succulenta,108,70,AFRICA
Justicia elegantula,80,39,AFRICA
Sesbania melanocaulis,10,9,AFRICA
Cissus rotundifolia,60,37,AFRICA
Ceriops tagal,651,383,"OCEANIA, AFRICA, ASIA"
Hexalobus crispiflorus,115,49,AFRICA
Garcinia conrauana,54,27,AFRICA
Psychotria venosa,84,50,AFRICA
Juncus dregeanus,19,14,AFRICA
Cyperus tomaiophyllus,9,7,AFRICA
Cyperus afrosylvestris,180,135,"SOUTH_AMERICA, OCEANIA, AFRICA, NORTH_AMERICA"
Tylophora cameroonica,154,87,AFRICA
Rhynchospora brownii,249,148,"OCEANIA, SOUTH_AMERICA, AFRICA, NORTH_AMERICA"
Chevalierella dewildemanii,12,7,AFRICA
Nichallea soyauxii,376,168,AFRICA
Afrosciadium nyassicum,32,22,AFRICA
Culcasia parviflora,87,43,AFRICA
Allophylus conraui,6,5,AFRICA
Allophylus ujori,1,1,AFRICA
Indigofera berhautiana,13,9,AFRICA
Sabicea brevipes,27,18,AFRICA
Ophioglossum costatum,79,65,"OCEANIA, AFRICA"
Panicum hygrocharis,6,4,AFRICA
Uapaca guineensis,224,95,AFRICA
Platycerium elephantotis,44,21,AFRICA
Fuirena stricta,67,50,"AFRICA, SOUTH_AMERICA"
Salix ledermannii,8,5,AFRICA
Bacopa crenata,58,45,AFRICA
Cyperus renschii,42,31,AFRICA
Carex neochevalieri,3,3,AFRICA
Rytigynia rubiginosa,10,5,AFRICA
Heteromorpha arborescens,133,83,AFRICA
Euphorbia schimperiana,100,56,AFRICA
Acalypha psilostachya,90,51,AFRICA
Acalypha supera,47,33,"AFRICA, ASIA, EUROPE"
Genlisea hispidula,2,2,AFRICA
Alchemilla fischeri,35,11,AFRICA
Anagallis tenuicaulis,10,8,AFRICA
Berula imbricata,10,9,AFRICA
Peucedanum angustisectum,4,4,AFRICA
Afroligusticum townsendii,1,1,AFRICA
Plectranthus guerkei,31,22,AFRICA
Scutellaria violascens,10,6,AFRICA
Scadoxus pseudocaulus,16,7,AFRICA
Syncolostemon welwitschii,14,6,AFRICA
Laccodiscus ferrugineus,35,16,AFRICA
Cyphostemma kundelunguense,6,4,AFRICA
Chlorophytum collinum,1,1,AFRICA
Ledebouria revoluta,32,23,AFRICA
Chlorophytum gallabatense,75,46,AFRICA
Chlorophytum lancifolium,60,42,AFRICA
Vanilla polylepis,22,10,AFRICA
Vanilla roscheri,15,6,AFRICA
Diospyros rubicunda,25,8,AFRICA
Diospyros physocalycina,74,26,AFRICA
Keetia gracilis,47,8,AFRICA
Dolichopentas decora,107,55,AFRICA
Bulbostylis microcarpa,6,2,AFRICA
Culcasia mannii,89,54,AFRICA
Impatiens macroptera,23,14,AFRICA
Centotheca lappacea,182,150,"OCEANIA, AFRICA, ASIA"
Tripogon major,9,6,AFRICA
Indigofera pseudosubulata,1,1,AFRICA
Indigofera malindiensis,1,1,AFRICA
Aeschynomene afraspera,37,25,AFRICA
Ferraria glutinosa,3,3,AFRICA
Ozoroa nitida,5,4,AFRICA
Paropsia brazzaeana,25,18,AFRICA
Acacia gerrardii,98,62,AFRICA
Pittosporum viridiflorum,195,101,"AFRICA, ASIA"
Mareya brevipes,81,47,AFRICA
Spermacoce chaetocephala,46,25,AFRICA
Strychnos innocua,124,62,AFRICA
Ampelocissus abyssinica,38,17,AFRICA
Hibiscus micranthus,72,53,AFRICA
Thesium fastigiatum,20,16,AFRICA
Bulbophyllum expallidum,8,6,AFRICA
Adenia bequaertii,37,20,AFRICA
Octolepis casearia,200,83,AFRICA
Piper capense,185,93,AFRICA
Culcasia saxatilis,247,126,AFRICA
Drimia altissima,42,33,"AFRICA, EUROPE"
Psychotria rhizomatosa,54,31,AFRICA
Sabicea pilosa,40,29,AFRICA
Chazaliella oligocarpa,NA,NA,NA
Grossera vignei,35,19,AFRICA
Grossera paniculata,251,89,AFRICA
Grossera multinervis,38,9,AFRICA
Hymenophyllum hirsutum,60,38,"SOUTH_AMERICA, NORTH_AMERICA, AFRICA"
Psychotria baldwinii,2,1,AFRICA
Blotiella hieronymi,15,6,AFRICA
Angraecum bancoense,93,51,AFRICA
Commelina hockii,8,4,AFRICA
Pycnostachys elliotii,16,6,AFRICA
Mesosphaerum pectinatum,178,117,"OCEANIA, SOUTH_AMERICA, NORTH_AMERICA"
Rytigynia bridsoniae,61,23,AFRICA
Dracaena schizantha,35,10,AFRICA
Dracaena bicolor,83,31,AFRICA
Dracaena ellenbeckiana,31,10,AFRICA
Dracaena reflexa,239,96,"AFRICA, EUROPE, ASIA"
Dracaena aletriformis,26,15,"EUROPE, AFRICA"
Solanum welwitschii,79,48,AFRICA
Ampelocissus multistriata,21,14,AFRICA
Loxogramme abyssinica,153,108,AFRICA
Psychotria konguensis,44,33,AFRICA
Psychotria senterrei,NA,NA,NA
Psychotria stenostegia,NA,NA,NA
Leptactina pynaertii,63,41,AFRICA
Psychotria rubripilis,52,28,AFRICA
Psychotria fimbriatifolia,100,61,AFRICA
Psychotria thonneri,22,17,AFRICA
Psychotria subpunctata,41,28,AFRICA
Tarenna gracilis,24,17,AFRICA
Dactyladenia chevalieri,18,9,AFRICA
Pouchetia africana,159,88,AFRICA
Eriocaulon togoense,18,17,AFRICA
Psychotria kikwitensis,45,13,AFRICA
Euphorbia systyloides,6,5,AFRICA
Indigofera spicata,157,107,"OCEANIA, NORTH_AMERICA, SOUTH_AMERICA, AFRICA, ASIA"
Aeollanthus repens,31,26,AFRICA
Diplocyclos palmatus,328,255,"OCEANIA, AFRICA, ASIA, EUROPE"
Begonia eminii,256,133,AFRICA
Sporobolus congoensis,10,9,AFRICA
Heinsenia diervilleoides,31,21,AFRICA
Campylospermum mannii,2,2,AFRICA
Campylospermum lunzuensis,0,NA,NA
Psychotria ceratoloba,NA,NA,NA
Diplazium proliferum,162,85,"OCEANIA, AFRICA, ASIA"
Cynometra alexandri,41,17,AFRICA
Cyathula achyranthoides,208,123,"SOUTH_AMERICA, NORTH_AMERICA, AFRICA"
Cissampelos mucronata,77,56,AFRICA
Rinorea mildbraedii,58,28,AFRICA
Uvaria anonoides,5,3,AFRICA
Monanthotaxis lucidula,18,9,AFRICA
Albizia gummifera,96,66,"SOUTH_AMERICA, AFRICA"
Cissus diffusiflora,149,82,AFRICA
Helichrysum nudifolium,24,15,AFRICA
Crotalaria sapinii,9,6,AFRICA
Brachystephanus giganteus,9,3,AFRICA
Persicaria setosula,74,51,AFRICA
Polystachya fusiformis,36,20,AFRICA
Xyris capensis,91,71,"SOUTH_AMERICA, AFRICA, OCEANIA, ASIA"
Bulbostylis barbata,974,755,"OCEANIA, AFRICA"
Imperata cylindrica,248,201,"OCEANIA, AFRICA, SOUTH_AMERICA"
Phacelurus gabonensis,51,40,AFRICA
Stipularia africana,122,68,AFRICA
Ludwigia adscendens,151,108,"OCEANIA, SOUTH_AMERICA, AFRICA, ASIA"
Merremia hederacea,166,124,"OCEANIA, AFRICA, ASIA"
Luffa aegyptiaca,269,210,"NORTH_AMERICA, OCEANIA, SOUTH_AMERICA, AFRICA, ASIA"
Indigofera capitata,45,35,AFRICA
Acridocarpus longifolius,170,72,AFRICA
Phragmanthera capitata,136,74,AFRICA
Cynometra mannii,78,34,AFRICA
Leptospron adenanthum,138,83,"SOUTH_AMERICA, OCEANIA, AFRICA, ASIA"
Aniseia martinicensis,179,125,"SOUTH_AMERICA, OCEANIA, NORTH_AMERICA, AFRICA, ASIA"
Crudia klainei,92,23,AFRICA
Xyris welwitschii,7,7,AFRICA
Dicranolepis laciniata,21,13,AFRICA
Afzelia parviflora,52,26,AFRICA
Cyperus amabilis,121,91,"AFRICA, SOUTH_AMERICA, NORTH_AMERICA"
Plectranthus aegyptiacus,6,6,AFRICA
Albizia versicolor,99,70,"NORTH_AMERICA, AFRICA"
Juncus punctorius,9,8,AFRICA
Polystachya virginea,55,20,AFRICA
Polystachya villosa,4,3,AFRICA
Cleome hirta,61,43,AFRICA
Jollydora duparquetiana,268,100,AFRICA
Dracaena bueana,23,2,AFRICA
Dracaena phrynioides,88,51,AFRICA
Dracaena mildbraedii,127,44,AFRICA
Dracaena phanerophlebia,40,19,AFRICA
Dracaena goldieana,43,9,"EUROPE, AFRICA"
Sesamum angustifolium,25,23,AFRICA
Polystachya mystacioides,5,5,AFRICA
Polystachya stauroglossa,3,2,AFRICA
Polystachya songaniensis,1,1,AFRICA
Polystachya tridentata,10,5,AFRICA
Polystachya bifida,37,12,AFRICA
Polystachya cultriformis,108,43,AFRICA
Polystachya alpina,6,5,AFRICA
Paspalum dilatatum,359,222,"OCEANIA, NORTH_AMERICA"
Ischaemum amethystinum,13,10,AFRICA
Salacia mannii,57,29,AFRICA
Friesodielsia gracilipes,34,9,AFRICA
Capparis brassii,17,13,AFRICA
Tabernaemontana pachysiphon,89,43,AFRICA
Polystachya alicjae,2,2,AFRICA
Boerhavia coccinea,633,472,"SOUTH_AMERICA, NORTH_AMERICA"
Vittaria owariensis,19,18,AFRICA
Anthemis tigreensis,28,17,AFRICA
Acacia robusta,109,79,"SOUTH_AMERICA, AFRICA"
Panicum filifolium,3,2,AFRICA
Dracaena ovata,115,42,AFRICA
Vittaria guineensis,163,109,AFRICA
Arthraxon hispidus,127,62,"OCEANIA, NORTH_AMERICA"
Eragrostis camerunensis,7,6,AFRICA
Trichoscypha nyangensis,2,1,AFRICA
Clappertonia polyandra,55,32,AFRICA
Vanilla imperialis,36,11,
Vanilla crenulata,20,12,AFRICA
Phyllocosmus sessiliflorus,72,28,AFRICA
Chassalia lutescens,43,24,AFRICA
Justicia pedemontana,10,6,AFRICA
Bulbostylis viridicarinata,3,3,AFRICA
Chassalia macrodiscus,42,23,AFRICA
Olax mannii,119,71,AFRICA
Thaumatococcus flavus,0,NA,NA
Barteria fistulosa,150,63,AFRICA
Aloe trichosantha,17,9,AFRICA
Taverniera abyssinica,4,3,AFRICA
Barteria dewevrei,42,22,AFRICA
Tephrosia glomeruliflora,74,43,"OCEANIA, AFRICA"
Sporobolus subtilis,16,13,AFRICA
Thelypteris striatus,248,183,"OCEANIA, SOUTH_AMERICA"
Vigna luteola,142,110,"SOUTH_AMERICA, OCEANIA, NORTH_AMERICA, AFRICA"
Persicaria decipiens,633,413,OCEANIA
Cyperus digitatus,187,127,"OCEANIA, SOUTH_AMERICA, NORTH_AMERICA, AFRICA, ASIA"
Persicaria limbata,22,11,AFRICA
Thelypteris interrupta,248,183,"OCEANIA, SOUTH_AMERICA"
Ludwigia leptocarpa,63,40,"SOUTH_AMERICA, NORTH_AMERICA"
Leersia oncothrix,1,1,AFRICA
Hyparrhenia dichroa,21,10,AFRICA
Eulalia aurea,993,792,"OCEANIA, AFRICA"
Melinis repens,423,302,"OCEANIA, SOUTH_AMERICA, NORTH_AMERICA"
Diheteropogon grandiflorus,16,14,AFRICA
Limnophyton angolense,29,21,AFRICA
Andropogon eucomus,49,34,AFRICA
Tephrosia villosa,59,44,AFRICA
Indigofera bracteolata,53,36,AFRICA
Napoleonaea angolensis,49,31,AFRICA
Napoleonaea egertonii,15,6,AFRICA
Crossandrella adamii,3,NA,NA
Heisteria trillesiana,36,21,AFRICA
Hyparrhenia involucrata,63,44,AFRICA
Gymnosporia markwardii,5,4,AFRICA
Chlorophytum affine,15,11,AFRICA
Chlorophytum hirsutum,8,3,AFRICA
Boswellia papyrifera,43,18,AFRICA
Boswellia neglecta,21,15,AFRICA
Boswellia dalzielii,29,16,AFRICA
Uapaca pilosa,17,14,AFRICA
Actiniopteris dimorpha,36,29,AFRICA
Campylospermum descoingsii,1,1,AFRICA
Jatropha gossypiifolia,306,194,"OCEANIA, SOUTH_AMERICA, NORTH_AMERICA, AFRICA"
Vitellaria paradoxa,76,47,AFRICA
Indigofera colutea,758,607,"OCEANIA, AFRICA, ASIA, SOUTH_AMERICA"
Tephrosia noctiflora,52,39,"OCEANIA, AFRICA, ASIA"
Lygodium smithianum,0,NA,NA
Memecylon laurentii,55,38,AFRICA
Heisteria zimmereri,114,43,AFRICA
Diogoa zenkeri,129,61,AFRICA
Memecylon viride,31,15,AFRICA
Scytopetalum klaineanum,10,5,AFRICA
Dichapetalum zenkeri,185,65,AFRICA
Dichapetalum fructuosum,31,13,AFRICA
Poggea gossweileri,40,13,AFRICA
Melochia corchorifolia,360,282,"OCEANIA, AFRICA, ASIA"
Maesobotrya pauciflora,143,71,AFRICA
Dichapetalum patenti-hirsutum,129,62,AFRICA
Warneckea floribunda,13,7,AFRICA
Strychnos phaeotricha,157,60,AFRICA
Strychnos ngouniensis,57,22,AFRICA
Baphia hylophila,81,27,AFRICA
Napoleonaea cuneata,37,14,AFRICA
Dichapetalum unguiculatum,133,52,AFRICA
Microcos coriacea,134,63,AFRICA
Clerodendrum poggei,14,8,AFRICA
Turraea cabrae,33,21,AFRICA
Combretum mannii,124,77,AFRICA
Baphia leptobotrys,94,25,AFRICA
Microcalamus barbinodis,93,45,AFRICA
Napoleonaea beninensis,25,16,AFRICA
Gnidia kraussiana,57,47,AFRICA
Campylospermum glaberrimum,82,42,AFRICA
Campylospermum glaucifolium,24,16,AFRICA
Drypetes klaineana,21,16,AFRICA
Drypetes parvifolia,11,7,AFRICA
Bulbostylis congolensis,69,51,AFRICA
Lobelia inconspicua,8,5,AFRICA
Hoslundia opposita,212,145,AFRICA
Aframomum cereum,117,35,AFRICA
Zanthoxylum rubescens,30,14,AFRICA
Osbeckia decandra,6,5,AFRICA
Tephrosia nana,15,13,AFRICA
Dalbergia heudelotii,74,29,AFRICA
Peperomia tetraphylla,236,108,"OCEANIA, SOUTH_AMERICA"
Asplenium cuneatum,111,67,"OCEANIA, NORTH_AMERICA, SOUTH_AMERICA, AFRICA, ASIA"
Cordia platythyrsa,42,19,AFRICA
Ficus vogeliana,100,46,AFRICA
Helictonema velutinum,83,42,AFRICA
Asplenium variabile,80,42,AFRICA
Elatostema paivaeanum,29,18,AFRICA
Psychotria biaurita,18,10,AFRICA
Trichostachys aurea,76,55,AFRICA
Mapania coriandrum,9,7,AFRICA
Lepisorus preussii,132,91,AFRICA
Turraea heterophylla,60,26,AFRICA
Synsepalum cerasiferum,46,25,AFRICA
Cissus doeringii,14,10,AFRICA
Pauridiantha afzelii,44,20,AFRICA
Terminalia schimperiana,120,58,AFRICA
Uvaria ovata,11,8,"AFRICA, ASIA"
Sericanthe chevalieri,37,22,AFRICA
Dichapetalum albidum,59,25,AFRICA
Cyperus pustulatus,93,70,AFRICA
Bolbitis fluviatilis,35,20,AFRICA
Asplenium diplazisorum,11,7,AFRICA
Renealmia maculata,8,5,AFRICA
Tabernaemontana glandulosa,107,43,AFRICA
Nervilia crociformis,30,18,"OCEANIA, AFRICA, ASIA"
Blotiella reducta,14,5,AFRICA
Trichilia djalonis,29,16,AFRICA
Lonchitis occidentalis,26,10,AFRICA
Diplazium sammatii,36,23,AFRICA
Englerophytum oubanguiense,6,5,AFRICA
