"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Vepris bremekampii",112297,32,8,NA,"8","0","VU","VU B2a","0","VU","LC or NT"
"Vepris dainellii",84328,52,14,NA,"11","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Vepris ebolowensis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vepris eugeniifolia",403042,52,13,NA,"13","5","LC or NT","LC or NT B1a+B2a","38.5","LC or NT","LC or NT"
"Vepris fadenii",33598,36,9,NA,"6","1","VU","VU B2a","33.3","VU","LC or NT"
"Vepris felicis",21984,24,7,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Vepris fischeri",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Vepris gabonensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vepris glaberrima",258855,100,28,NA,"22","3","LC or NT","LC or NT B1a+B2a","29","LC or NT","LC or NT"
"Vepris glandulosa",3792,32,9,NA,"6","1","VU","VU B1a+B2a","12.5","VU","VU"
"Vepris glomerata",932176,64,16,NA,"15","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Vepris grandifolia",3392198,48,12,NA,"10","1","VU","VU B2a","7.1","VU","LC or NT"
"Vepris hanangensis",156346,16,5,NA,"4","1","EN","EN B2a","20","EN","LC or NT"
"Vepris heterophylla",1466023,52,16,NA,"12","1","LC or NT","LC or NT B1a+B2a","12","LC or NT","LC or NT"
"Vepris hiernii",485332,60,15,NA,"12","3","LC or NT","LC or NT B1a+B2a","18.2","LC or NT","LC or NT"
"Vepris lanceolata",560847,36,9,NA,"9","3","VU","VU B2a","30","VU","LC or NT"
"Vepris lecompteana",439,16,4,NA,"3","1","EN","EN B1a+B2a","50","EN","EN"
"Vepris lecomteana",168243,36,9,NA,"8","2","VU","VU B2a","45.5","VU","LC or NT"
