"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Aaronsohnia pubescens",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Abelmoschus caillei",41925,20,5,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Abildgaardia hygrophila",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Abildgaardia triflora",5238541,56,14,NA,"13","1","LC or NT","LC or NT B1a+B2a","7.1","LC or NT","LC or NT"
"Abrus canescens",7731560,296,74,NA,"70","10","LC or NT","LC or NT B1a+B2a","24.1","LC or NT","LC or NT"
"Abrus fruticulosus",19110745,720,193,NA,"171","22","LC or NT","LC or NT B1a+B2a","15.2","LC or NT","LC or NT"
"Abrus gawenensis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Abrus precatorius",14044023,536,137,NA,"127","14","LC or NT","LC or NT B1a+B2a","16.2","LC or NT","LC or NT"
"Abrus schimperi",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Abutilon anglosomaliae",347589,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Abutilon angulatum",9617783,80,20,NA,"19","1","LC or NT","LC or NT B1a+B2a","5","LC or NT","LC or NT"
"Abutilon austro-africanum",7430,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Abutilon austroafricanum",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Abutilon bidentatum",597073,28,7,NA,"7","1","VU","VU B2a","14.3","VU","LC or NT"
"Abutilon bussei",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Abutilon dinteri",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Abutilon engleranum",198686,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Abutilon figarianum",473901,48,12,NA,"12","1","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Abutilon fruticosum",16009076,96,24,NA,"24","2","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Abutilon grandiflorum",5411419,48,12,NA,"12","3","LC or NT","LC or NT B1a+B2a","25","LC or NT","LC or NT"
"Abutilon grantii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Abutilon hirtum",6599803,56,14,NA,"14","2","LC or NT","LC or NT B1a+B2a","14.3","LC or NT","LC or NT"
"Abutilon lauraster",366983,20,5,NA,"5","1","EN","EN B2a","16.7","EN","LC or NT"
"Abutilon longicuspe",1433798,92,25,NA,"20","6","LC or NT","LC or NT B1a+B2a","36","LC or NT","LC or NT"
"Abutilon mauritianum",13688956,376,94,NA,"92","13","LC or NT","LC or NT B1a+B2a","17.2","LC or NT","LC or NT"
"Abutilon pannosum",8680999,76,19,NA,"19","2","LC or NT","LC or NT B1a+B2a","10.5","LC or NT","LC or NT"
"Abutilon pycnodon",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Abutilon ramosum",10410947,40,10,NA,"10","1","VU","VU B2a","10","VU","LC or NT"
"Abutilon sonneratianum",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Abutilon wituense",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acacia abyssinica",4517274,256,66,NA,"56","10","LC or NT","LC or NT B1a+B2a","23.6","LC or NT","LC or NT"
"Acacia adenocalyx",562518,152,39,NA,"35","8","LC or NT","LC or NT B1a+B2a","31.8","LC or NT","LC or NT"
"Acacia amythethophylla",9810337,340,85,NA,"82","7","LC or NT","LC or NT B1a+B2a","8.8","LC or NT","LC or NT"
"Acacia ancistroclada",70354,48,12,NA,"12","1","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Acacia ankokib",9213,36,9,NA,"8","0","VU","VU B1a+B2a","0","VU","VU"
"Acacia antunesii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acacia arenaria",19654,16,4,NA,"4","1","EN","EN B2a","25","EN","VU"
"Acacia asak",22584,24,6,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Acacia ataxacantha",14877249,400,100,NA,"95","22","LC or NT","LC or NT B1a+B2a","27.9","LC or NT","LC or NT"
"Acacia auriculiformis",5102357,48,12,NA,"12","1","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Acacia bavazzanoi",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Acacia borleae",32315,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Acacia brevispica",13009088,540,138,NA,"126","13","LC or NT","LC or NT B1a+B2a","11.1","LC or NT","LC or NT"
"Acacia burkei",385273,48,12,NA,"12","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Acacia burttii",197457,44,11,NA,"9","3","VU","VU B2a","36.4","VU","LC or NT"
"Acacia bussei",1070964,240,61,NA,"55","6","LC or NT","LC or NT B1a+B2a","14.5","LC or NT","LC or NT"
"Acacia caffra",1474472,36,9,NA,"9","0","VU","VU B2a","0","VU","LC or NT"
"Acacia cheilanthifolia",28,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Acacia ciliolata",1224,16,4,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Acacia circummarginata",708910,60,15,NA,"14","2","LC or NT","LC or NT B1a+B2a","18.8","LC or NT","LC or NT"
"Acacia davyi",38886,12,3,NA,"2","0","EN","EN B2a","0","EN","LC or NT"
"Acacia densispina",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acacia dolichocephala",497306,68,17,NA,"16","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Acacia drepanolobium",2318636,320,80,NA,"77","8","LC or NT","LC or NT B1a+B2a","12","LC or NT","LC or NT"
"Acacia dudgeonii",1229142,232,59,NA,"54","8","LC or NT","LC or NT B1a+B2a","20","LC or NT","LC or NT"
"Acacia edgeworthii",412679,40,10,NA,"10","0","VU","VU B2a","0","VU","LC or NT"
"Acacia ehrenbergiana",7049803,52,13,NA,"13","1","LC or NT","LC or NT B1a+B2a","7.7","LC or NT","LC or NT"
"Acacia elatior",257092,132,34,NA,"32","5","LC or NT","LC or NT B1a+B2a","19.4","LC or NT","LC or NT"
"Acacia erioloba",2188207,120,30,NA,"30","4","LC or NT","LC or NT B1a+B2a","12.1","LC or NT","LC or NT"
"Acacia erubescens",3308264,100,25,NA,"25","3","LC or NT","LC or NT B1a+B2a","11.5","LC or NT","LC or NT"
"Acacia erythrocalyx",623425,48,13,NA,"13","2","LC or NT","LC or NT B1a+B2a","12.5","LC or NT","LC or NT"
"Acacia etbaica",6496958,408,104,NA,"101","7","LC or NT","LC or NT B1a+B2a","6.7","LC or NT","LC or NT"
"Acacia exuvialis",NA,8,2,NA,"1","1","LC or NT","LC or NT B2a","100","LC or NT",NA
"Acacia fischeri",64106,44,11,NA,"11","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Acacia fleckii",890062,80,20,NA,"20","5","LC or NT","LC or NT B1a+B2a","22.7","LC or NT","LC or NT"
"Acacia fumosa",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Acacia galpinii",71963,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Acacia gerrardii",9826892,688,172,NA,"159","17","LC or NT","LC or NT B1a+B2a","13.3","LC or NT","LC or NT"
"Acacia goetzei",6506801,412,104,NA,"99","5","LC or NT","LC or NT B1a+B2a","6.9","LC or NT","LC or NT"
"Acacia gourmaensis",470915,100,25,NA,"25","3","LC or NT","LC or NT B1a+B2a","11.5","LC or NT","LC or NT"
"Acacia grandicornuta",NA,4,2,NA,"2","1","EN","EN B2a","33.33","EN",NA
"Acacia haematoxylon",1022450,24,6,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Acacia hamulosa",841152,96,24,NA,"24","2","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Acacia hebeclada",1088213,168,42,NA,"38","6","LC or NT","LC or NT B1a+B2a","22.9","LC or NT","LC or NT"
"Acacia hecatophylla",160962,44,11,NA,"11","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Acacia hereroensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acacia hockii",12169668,1104,277,NA,"256","37","LC or NT","LC or NT B1a+B2a","18.2","LC or NT","LC or NT"
"Acacia horrida",1524074,144,36,NA,"36","2","LC or NT","LC or NT B1a+B2a","5.6","LC or NT","LC or NT"
"Acacia karroo",2307852,132,33,NA,"33","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Acacia kirkii",5453713,292,75,NA,"62","12","LC or NT","LC or NT B1a+B2a","25","LC or NT","LC or NT"
"Acacia kraussiana",74278,36,9,NA,"9","0","VU","VU B2a","0","VU","LC or NT"
"Acacia laeta",9455088,164,42,NA,"40","4","LC or NT","LC or NT B1a+B2a","9.3","LC or NT","LC or NT"
"Acacia lahai",659692,236,60,NA,"48","5","LC or NT","LC or NT B1a+B2a","22.2","LC or NT","LC or NT"
"Acacia latistipulata",72143,52,13,NA,"11","1","LC or NT","LC or NT B1a+B2a","20","LC or NT","LC or NT"
"Acacia leucospira",32427,28,8,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Acacia luederitzii",924053,64,16,NA,"15","2","LC or NT","LC or NT B1a+B2a","12.5","LC or NT","LC or NT"
"Acacia lujae",1093898,108,28,NA,"27","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Acacia macrostachya",1519334,156,40,NA,"40","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Acacia manubensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acacia mbuluensis",618,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Acacia mearnsii",3247448,116,29,NA,"27","3","LC or NT","LC or NT B1a+B2a","13.8","LC or NT","LC or NT"
"Acacia mellifera",17096260,724,186,NA,"171","16","LC or NT","LC or NT B1a+B2a","11.7","LC or NT","LC or NT"
"Acacia montigena",1634136,168,43,NA,"41","9","LC or NT","LC or NT B1a+B2a","18.8","LC or NT","LC or NT"
"Acacia nebrownii",844859,64,16,NA,"15","2","LC or NT","LC or NT B1a+B2a","12.5","LC or NT","LC or NT"
"Acacia negrii",88925,84,21,NA,"20","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Acacia nigrescens",5353468,264,66,NA,"63","5","LC or NT","LC or NT B1a+B2a","9.9","LC or NT","LC or NT"
"Acacia nilotica",21668670,1276,323,NA,"294","22","LC or NT","LC or NT B1a+B2a","8.6","LC or NT","LC or NT"
"Acacia oerfota",3375674,204,51,NA,"49","2","LC or NT","LC or NT B1a+B2a","5.7","LC or NT","LC or NT"
"Acacia ogadensis",7911,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Acacia origena",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Acacia paolii",595882,152,38,NA,"37","4","LC or NT","LC or NT B1a+B2a","11.9","LC or NT","LC or NT"
"Acacia pentagona",9687866,328,85,NA,"72","17","LC or NT","LC or NT B1a+B2a","35","LC or NT","LC or NT"
"Acacia permixta",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Acacia persiciflora",786455,124,31,NA,"28","1","LC or NT","LC or NT B1a+B2a","3","LC or NT","LC or NT"
"Acacia petrensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acacia pilispina",2192122,92,23,NA,"22","3","LC or NT","LC or NT B1a+B2a","17.4","LC or NT","LC or NT"
"Acacia polyacantha",13490079,992,252,NA,"238","21","LC or NT","LC or NT B1a+B2a","10.9","LC or NT","LC or NT"
"Acacia prasinata",8,8,3,NA,"2","1","EN","EN B1a+B2a","66.7","EN","EN"
"Acacia pseudofistula",100863,80,21,NA,"16","2","LC or NT","LC or NT B1a+B2a","9.5","LC or NT","LC or NT"
"Acacia pseudonigrescens",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acacia qandalensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acacia reficiens",752814,68,17,NA,"17","1","LC or NT","LC or NT B1a+B2a","5.6","LC or NT","LC or NT"
"Acacia rehmanniana",5111232,76,19,NA,"19","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Acacia retinodes",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Acacia robusta",5011736,524,132,NA,"121","11","LC or NT","LC or NT B1a+B2a","10.5","LC or NT","LC or NT"
"Acacia rovumae",301148,56,14,NA,"14","3","LC or NT","LC or NT B1a+B2a","21.4","LC or NT","LC or NT"
"Acacia schweinfurthii",3448178,224,56,NA,"56","8","LC or NT","LC or NT B1a+B2a","13.8","LC or NT","LC or NT"
"Acacia senegal",17691058,740,185,NA,"177","12","LC or NT","LC or NT B1a+B2a","7.6","LC or NT","LC or NT"
"Acacia seyal",13308530,488,122,NA,"120","9","LC or NT","LC or NT B1a+B2a","8.6","LC or NT","LC or NT"
"Acacia sieberiana",17308932,860,216,NA,"205","28","LC or NT","LC or NT B1a+B2a","17.9","LC or NT","LC or NT"
"Acacia somalensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acacia stuhlmannii",2485144,168,43,NA,"40","3","LC or NT","LC or NT B1a+B2a","7","LC or NT","LC or NT"
"Acacia swazica",237,12,4,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Acacia tanganyikensis",61443,60,16,NA,"11","1","LC or NT","LC or NT B1a+B2a","18.8","LC or NT","LC or NT"
"Acacia taylorii",1648,12,3,NA,"3","1","EN","EN B1a+B2a","50","EN","EN"
"Acacia tenuispina",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Acacia tephrophylla",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acacia thomasii",88576,80,20,NA,"14","3","LC or NT","LC or NT B1a+B2a","40.9","LC or NT","LC or NT"
"Acacia torrei",865,16,4,NA,"3","1","EN","EN B1a+B2a","25","EN","EN"
"Acacia tortilis",24039712,404,102,NA,"97","7","LC or NT","LC or NT B1a+B2a","8.7","LC or NT","LC or NT"
"Acacia turnbulliana",171789,64,16,NA,"15","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Acacia venosa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acacia welwitschii",598562,28,7,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Acacia xanthophloea",1096960,124,31,NA,"30","3","LC or NT","LC or NT B1a+B2a","12.1","LC or NT","LC or NT"
"Acacia zanzibarica",824979,184,48,NA,"45","3","LC or NT","LC or NT B1a+B2a","6","LC or NT","LC or NT"
"Acacia zizyphispina",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acalypha acrogyna",675550,28,7,NA,"5","1","EN","EN B2a","42.9","EN","LC or NT"
"Acalypha allenii",171052,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Acalypha ambigua",233738,28,7,NA,"7","1","VU","VU B2a","12.5","VU","LC or NT"
"Acalypha angustata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acalypha benguelensis",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Acalypha bipartita",250975,60,15,NA,"13","2","LC or NT","LC or NT B1a+B2a","13.3","LC or NT","LC or NT"
"Acalypha brachiata",12920309,576,148,NA,"137","24","LC or NT","LC or NT B1a+B2a","24.8","LC or NT","LC or NT"
"Acalypha bussei",160080,28,7,NA,"6","1","VU","VU B2a","14.3","VU","LC or NT"
"Acalypha chirindica",1683346,156,41,NA,"35","4","LC or NT","LC or NT B1a+B2a","10.9","LC or NT","LC or NT"
"Acalypha ciliata",15552892,244,61,NA,"58","6","LC or NT","LC or NT B1a+B2a","11.6","LC or NT","LC or NT"
"Acalypha clutioides",2410,20,5,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Acalypha crenata",10229056,104,26,NA,"26","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Acalypha cupricola",190112,124,41,NA,"17","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Acalypha deltoidea",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Acalypha depressinerva",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acalypha dikuluwensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acalypha dumetorum",64,20,5,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Acalypha echinus",56285,68,17,NA,"13","2","LC or NT","LC or NT B1a+B2a","31.6","LC or NT","LC or NT"
"Acalypha engleri",476536,168,45,NA,"35","14","LC or NT","LC or NT B1a+B2a","46","LC or NT","LC or NT"
"Acalypha fimbriata",9234506,92,23,NA,"23","4","LC or NT","LC or NT B1a+B2a","17.4","LC or NT","LC or NT"
"Acalypha fruticosa",4143420,368,92,NA,"84","12","LC or NT","LC or NT B1a+B2a","19.2","LC or NT","LC or NT"
"Acalypha gillmanii",13621,20,6,NA,"4","0","EN","EN B2a","0","EN","VU"
"Acalypha glabrata",165190,28,8,NA,"7","1","VU","VU B2a","11.1","VU","LC or NT"
"Acalypha glandulifolia",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Acalypha guineensis",4743,32,11,NA,"5","3","EN","EN B1a+B2a","72.7","EN","EN"
"Acalypha hochstetteriana",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acalypha indica",7453202,108,27,NA,"26","3","LC or NT","LC or NT B1a+B2a","10.7","LC or NT","LC or NT"
"Acalypha koraensis",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Acalypha lanceolata",1502478,140,35,NA,"31","5","LC or NT","LC or NT B1a+B2a","23.7","LC or NT","LC or NT"
"Acalypha manniana",841147,84,21,NA,"20","3","LC or NT","LC or NT B1a+B2a","11.1","LC or NT","LC or NT"
"Acalypha marissima",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Acalypha multifida",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acalypha neptunica",5652103,324,85,NA,"67","25","LC or NT","LC or NT B1a+B2a","41.3","LC or NT","LC or NT"
"Acalypha nyasica",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Acalypha ornata",10382176,740,190,NA,"159","27","LC or NT","LC or NT B1a+B2a","29","LC or NT","LC or NT"
"Acalypha paniculata",9123837,320,83,NA,"73","14","LC or NT","LC or NT B1a+B2a","20.7","LC or NT","LC or NT"
"Acalypha paucifolia",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Acalypha peduncularis",60191,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Acalypha petiolaris",4882348,64,16,NA,"15","2","LC or NT","LC or NT B1a+B2a","17.6","LC or NT","LC or NT"
"Acalypha polymorpha",1214504,196,51,NA,"45","6","LC or NT","LC or NT B1a+B2a","16.1","LC or NT","LC or NT"
"Acalypha psilostachya",5727895,368,96,NA,"80","21","LC or NT","LC or NT B1a+B2a","28.3","LC or NT","LC or NT"
"Acalypha pubiflora",1235,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Acalypha segetalis",10284425,124,31,NA,"31","2","LC or NT","LC or NT B1a+B2a","9.4","LC or NT","LC or NT"
"Acalypha sonderiana",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acalypha supera",4490987,140,36,NA,"33","8","LC or NT","LC or NT B1a+B2a","28.2","LC or NT","LC or NT"
"Acalypha volkensii",1655195,240,63,NA,"53","14","LC or NT","LC or NT B1a+B2a","31.2","LC or NT","LC or NT"
"Acalypha welwitschiana",981775,36,9,NA,"8","4","VU","VU B2a","40","VU","LC or NT"
"Acampe pachyglossa",5521295,132,33,NA,"32","4","LC or NT","LC or NT B1a+B2a","13.5","LC or NT","LC or NT"
"Acampe rigida",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acanthonema diandrum",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Acanthonema strigosum",76096,140,38,NA,"22","5","LC or NT","LC or NT B1a+B2a","20","LC or NT","LC or NT"
"Acanthopale confertiflora",945927,32,8,NA,"8","4","VU","VU B2a","50","VU","LC or NT"
"Acanthopale decempedalis",28568,72,18,NA,"14","4","LC or NT","LC or NT B1a+B2a","35","LC or NT","LC or NT"
"Acanthopale laxiflora",58276,24,6,NA,"6","4","VU","VU B2a","66.7","VU","LC or NT"
"Acanthopale pubescens",1234839,100,26,NA,"21","5","LC or NT","LC or NT B1a+B2a","39.3","LC or NT","LC or NT"
"Acanthopsis disperma",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acanthosicyos horrida",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acanthosicyos horridus",33705,44,11,NA,"6","2","VU","VU B2a","46.7","VU","LC or NT"
"Acanthosicyos naudinianus",2314079,32,8,NA,"8","1","VU","VU B2a","12.5","VU","LC or NT"
"Acanthospermum glabratum",424895,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Acanthospermum hispidum",16403103,328,84,NA,"80","3","LC or NT","LC or NT B1a+B2a","3.4","LC or NT","LC or NT"
"Acanthus eminens",684570,40,11,NA,"9","1","VU","VU B2a","8.3","VU","LC or NT"
"Acanthus guineensis",389267,112,29,NA,"27","3","LC or NT","LC or NT B1a+B2a","13.3","LC or NT","LC or NT"
"Acanthus kulalensis",NA,4,2,NA,"1","0","CR","CR B2a","0","CR",NA
"Acanthus latisepalus",15799,72,19,NA,"15","1","LC or NT","LC or NT B1a+B2a","10.5","LC or NT","LC or NT"
"Acanthus mayaccanus",229566,104,26,NA,"24","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Acanthus montanus",7064581,684,173,NA,"156","10","LC or NT","LC or NT B1a+B2a","8.5","LC or NT","LC or NT"
"Acanthus polystachyus",1159494,240,60,NA,"51","2","LC or NT","LC or NT B1a+B2a","16.7","LC or NT","LC or NT"
"Acanthus sennii",90439,52,13,NA,"13","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Acanthus seretii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acanthus ueleensis",1198899,148,38,NA,"35","7","LC or NT","LC or NT B1a+B2a","22.7","LC or NT","LC or NT"
"Achillea millefolium",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Achyranthes aspera",19790520,872,225,NA,"197","39","LC or NT","LC or NT B1a+B2a","23","LC or NT","LC or NT"
"Achyranthes bidentata",818759,52,13,NA,"12","6","LC or NT","LC or NT B1a+B2a","46.2","LC or NT","LC or NT"
"Achyranthes fasciculata",5560,20,5,NA,"3","3","LC or NT","EN B2a","100","EN","VU"
"Achyranthes talbotii",2278,28,7,NA,"4","1","EN","EN B1a+B2a","14.3","EN","EN"
"Achyrocline schimperi",2552482,272,75,NA,"61","14","LC or NT","LC or NT B1a+B2a","25.3","LC or NT","LC or NT"
"Achyropsis filifolia",19169,16,4,NA,"4","2","EN","EN B2a","50","EN","VU"
"Achyropsis fruticulosa",91008,92,23,NA,"22","7","LC or NT","LC or NT B1a+B2a","33.3","LC or NT","LC or NT"
"Achyropsis laniceps",433262,48,12,NA,"12","1","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Achyropsis leptostachya",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Achyrospermum aethiopicum",40778,12,4,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Achyrospermum africanum",2373727,80,26,NA,"14","3","LC or NT","LC or NT B1a+B2a","21.2","LC or NT","LC or NT"
"Achyrospermum axillare",58729,32,8,NA,"7","2","VU","VU B2a","37.5","VU","LC or NT"
"Achyrospermum carvalhoi",728477,140,38,NA,"27","8","LC or NT","LC or NT B1a+B2a","48.8","LC or NT","LC or NT"
"Achyrospermum ciliatum",766033,68,19,NA,"15","3","LC or NT","LC or NT B1a+B2a","26.3","LC or NT","LC or NT"
"Achyrospermum cryptanthum",149292,52,13,NA,"13","7","LC or NT","LC or NT B1a+B2a","62.5","LC or NT","LC or NT"
"Achyrospermum dasytrichum",1266,12,3,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Achyrospermum erythrobotrys",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Achyrospermum laterale",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Achyrospermum micranthum",26892,36,9,NA,"4","2","EN","EN B2a","80","EN","LC or NT"
"Achyrospermum oblongifolium",2675039,176,46,NA,"40","9","LC or NT","LC or NT B1a+B2a","25","LC or NT","LC or NT"
"Achyrospermum parviflorum",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Achyrospermum radicans",46677,24,7,NA,"5","1","EN","EN B2a","14.3","EN","LC or NT"
"Achyrospermum scandens",65228,40,10,NA,"5","3","EN","EN B2a","80","EN","LC or NT"
"Achyrospermum schimperi",563534,104,26,NA,"24","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Achyrospermum schlechteri",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Achyrospermum serratum",131389,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Achyrospermum tisserantii",81528,20,5,NA,"5","1","EN","EN B2a","20","EN","LC or NT"
"Achyrothalamus marginatus",41418,40,10,NA,"10","4","VU","VU B2a","36.4","VU","LC or NT"
"Acmadenia mundiana",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acmadenia tetragona",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acmella caulirhiza",12621654,616,161,NA,"139","22","LC or NT","LC or NT B1a+B2a","19.7","LC or NT","LC or NT"
"Acmella uliginosa",6365144,244,62,NA,"56","8","LC or NT","LC or NT B1a+B2a","14.5","LC or NT","LC or NT"
"Acokanthera laevigata",101,8,3,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Acokanthera oblongifolia",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Acokanthera oppositifolia",1943992,44,11,NA,"10","0","VU","VU B2a","0","VU","LC or NT"
"Acokanthera rotundata",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Acokanthera schimperi",1334757,128,33,NA,"31","2","LC or NT","LC or NT B1a+B2a","5.7","LC or NT","LC or NT"
"Acrachne racemosa",2536064,32,8,NA,"7","1","VU","VU B2a","25","VU","LC or NT"
"Acridocarpus alopecurus",109317,136,35,NA,"30","10","LC or NT","LC or NT B1a+B2a","34.3","LC or NT","LC or NT"
"Acridocarpus alternifolius",1310044,168,45,NA,"36","5","LC or NT","LC or NT B1a+B2a","20","LC or NT","LC or NT"
"Acridocarpus ballyi",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acridocarpus camerunensis",114242,40,10,NA,"9","3","VU","VU B2a","45.5","VU","LC or NT"
"Acridocarpus caparados",2081,16,4,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Acridocarpus chevalieri",747006,60,16,NA,"14","2","LC or NT","LC or NT B1a+B2a","12.5","LC or NT","LC or NT"
"Acridocarpus chloropterus",8415,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Acridocarpus congestus",66,12,3,NA,"3","2","EN","EN B1a+B2a","66.7","EN","EN"
"Acridocarpus congolensis",104199,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
